observableId	simulationConditionId	measurement	time	observableParameters	noiseParameters
obs_GFP	condition_eGFP	7.054	1200	scaling;offset	sigma
obs_GFP	condition_eGFP	6.384	1800	scaling;offset	sigma
obs_GFP	condition_eGFP	6.313	2400	scaling;offset	sigma
obs_GFP	condition_eGFP	6.758	3000	scaling;offset	sigma
obs_GFP	condition_eGFP	12.555	3600	scaling;offset	sigma
obs_GFP	condition_eGFP	39.405	4200	scaling;offset	sigma
obs_GFP	condition_eGFP	94.545	4800	scaling;offset	sigma
obs_GFP	condition_eGFP	132.434	5400	scaling;offset	sigma
obs_GFP	condition_eGFP	173.888	6000	scaling;offset	sigma
obs_GFP	condition_eGFP	216.189	6600	scaling;offset	sigma
obs_GFP	condition_eGFP	260.215	7200	scaling;offset	sigma
obs_GFP	condition_eGFP	299.804	7800	scaling;offset	sigma
obs_GFP	condition_eGFP	341.157	8400	scaling;offset	sigma
obs_GFP	condition_eGFP	380.962	9000	scaling;offset	sigma
obs_GFP	condition_eGFP	414.982	9600	scaling;offset	sigma
obs_GFP	condition_eGFP	449.763	10200	scaling;offset	sigma
obs_GFP	condition_eGFP	480.207	10800	scaling;offset	sigma
obs_GFP	condition_eGFP	513.315	11400	scaling;offset	sigma
obs_GFP	condition_eGFP	540.377	12000	scaling;offset	sigma
obs_GFP	condition_eGFP	564.558	12600	scaling;offset	sigma
obs_GFP	condition_eGFP	587.006	13200	scaling;offset	sigma
obs_GFP	condition_eGFP	610.617	13800	scaling;offset	sigma
obs_GFP	condition_eGFP	628.525	14400	scaling;offset	sigma
obs_GFP	condition_eGFP	652.751	15000	scaling;offset	sigma
obs_GFP	condition_eGFP	672.009	15600	scaling;offset	sigma
obs_GFP	condition_eGFP	694.327	16200	scaling;offset	sigma
obs_GFP	condition_eGFP	711.7	16800	scaling;offset	sigma
obs_GFP	condition_eGFP	734.505	17400	scaling;offset	sigma
obs_GFP	condition_eGFP	767.526	18000	scaling;offset	sigma
obs_GFP	condition_eGFP	784.824	18600	scaling;offset	sigma
obs_GFP	condition_eGFP	810.821	19200	scaling;offset	sigma
obs_GFP	condition_eGFP	830.751	19800	scaling;offset	sigma
obs_GFP	condition_eGFP	865.231	20400	scaling;offset	sigma
obs_GFP	condition_eGFP	891.414	21000	scaling;offset	sigma
obs_GFP	condition_eGFP	912.564	21600	scaling;offset	sigma
obs_GFP	condition_eGFP	939.504	22200	scaling;offset	sigma
obs_GFP	condition_eGFP	971.543	22800	scaling;offset	sigma
obs_GFP	condition_eGFP	990.955	23400	scaling;offset	sigma
obs_GFP	condition_eGFP	1026.838	24000	scaling;offset	sigma
obs_GFP	condition_eGFP	1047.382	24600	scaling;offset	sigma
obs_GFP	condition_eGFP	1071.052	25200	scaling;offset	sigma
obs_GFP	condition_eGFP	1088.806	25800	scaling;offset	sigma
obs_GFP	condition_eGFP	1115.872	26400	scaling;offset	sigma
obs_GFP	condition_eGFP	1135.81	27000	scaling;offset	sigma
obs_GFP	condition_eGFP	1154.461	27600	scaling;offset	sigma
obs_GFP	condition_eGFP	1166.217	28200	scaling;offset	sigma
obs_GFP	condition_eGFP	1190.546	28800	scaling;offset	sigma
obs_GFP	condition_eGFP	1205.018	29400	scaling;offset	sigma
obs_GFP	condition_eGFP	1205.903	30000	scaling;offset	sigma
obs_GFP	condition_eGFP	1232.919	30600	scaling;offset	sigma
obs_GFP	condition_eGFP	1251.142	31200	scaling;offset	sigma
obs_GFP	condition_eGFP	1268.411	31800	scaling;offset	sigma
obs_GFP	condition_eGFP	1264.774	32400	scaling;offset	sigma
obs_GFP	condition_eGFP	1290.923	33000	scaling;offset	sigma
obs_GFP	condition_eGFP	1301.685	33600	scaling;offset	sigma
obs_GFP	condition_eGFP	1302.473	34200	scaling;offset	sigma
obs_GFP	condition_eGFP	1333.702	34800	scaling;offset	sigma
obs_GFP	condition_eGFP	1338.302	35400	scaling;offset	sigma
obs_GFP	condition_eGFP	1356.45	36000	scaling;offset	sigma
obs_GFP	condition_eGFP	1361.133	36600	scaling;offset	sigma
obs_GFP	condition_eGFP	1368.511	37200	scaling;offset	sigma
obs_GFP	condition_eGFP	1392.775	37800	scaling;offset	sigma
obs_GFP	condition_eGFP	1380.113	38400	scaling;offset	sigma
obs_GFP	condition_eGFP	1381.202	39000	scaling;offset	sigma
obs_GFP	condition_eGFP	1378.282	39600	scaling;offset	sigma
obs_GFP	condition_eGFP	1399.116	40200	scaling;offset	sigma
obs_GFP	condition_eGFP	1480.148	40800	scaling;offset	sigma
obs_GFP	condition_eGFP	1420.65	41400	scaling;offset	sigma
obs_GFP	condition_eGFP	1392.725	42000	scaling;offset	sigma
obs_GFP	condition_eGFP	1416.352	42600	scaling;offset	sigma
obs_GFP	condition_eGFP	1422.991	43200	scaling;offset	sigma
obs_GFP	condition_eGFP	1424.074	43800	scaling;offset	sigma
obs_GFP	condition_eGFP	1427.559	44400	scaling;offset	sigma
obs_GFP	condition_eGFP	1422.858	45000	scaling;offset	sigma
obs_GFP	condition_eGFP	1430.779	45600	scaling;offset	sigma
obs_GFP	condition_eGFP	1455.745	46200	scaling;offset	sigma
obs_GFP	condition_eGFP	1469.718	46800	scaling;offset	sigma
obs_GFP	condition_eGFP	1473.366	47400	scaling;offset	sigma
obs_GFP	condition_eGFP	1473.45	48000	scaling;offset	sigma
obs_GFP	condition_eGFP	1475.907	48600	scaling;offset	sigma
obs_GFP	condition_eGFP	1499.537	49200	scaling;offset	sigma
obs_GFP	condition_eGFP	1493.712	49800	scaling;offset	sigma
obs_GFP	condition_eGFP	1472.835	50400	scaling;offset	sigma
obs_GFP	condition_eGFP	1498.972	51000	scaling;offset	sigma
obs_GFP	condition_eGFP	1522.269	51600	scaling;offset	sigma
obs_GFP	condition_eGFP	1491.604	52200	scaling;offset	sigma
obs_GFP	condition_eGFP	1510.94	52800	scaling;offset	sigma
obs_GFP	condition_eGFP	1541.665	53400	scaling;offset	sigma
obs_GFP	condition_eGFP	1530.046	54000	scaling;offset	sigma
obs_GFP	condition_eGFP	1500.146	54600	scaling;offset	sigma
obs_GFP	condition_eGFP	1556.847	55200	scaling;offset	sigma
obs_GFP	condition_eGFP	1507.459	55800	scaling;offset	sigma
obs_GFP	condition_eGFP	1525.739	56400	scaling;offset	sigma
obs_GFP	condition_eGFP	1524.487	57000	scaling;offset	sigma
obs_GFP	condition_eGFP	1535.137	57600	scaling;offset	sigma
obs_GFP	condition_eGFP	1584.134	58200	scaling;offset	sigma
obs_GFP	condition_eGFP	1567.266	58800	scaling;offset	sigma
obs_GFP	condition_eGFP	1547.903	59400	scaling;offset	sigma
obs_GFP	condition_eGFP	1595.939	60000	scaling;offset	sigma
obs_GFP	condition_eGFP	1535.538	60600	scaling;offset	sigma
obs_GFP	condition_eGFP	1583.069	61200	scaling;offset	sigma
obs_GFP	condition_eGFP	1564.215	61800	scaling;offset	sigma
obs_GFP	condition_eGFP	1543.186	62400	scaling;offset	sigma
obs_GFP	condition_eGFP	1596.253	63000	scaling;offset	sigma
obs_GFP	condition_eGFP	1565.841	63600	scaling;offset	sigma
obs_GFP	condition_eGFP	1546.399	64200	scaling;offset	sigma
obs_GFP	condition_eGFP	1526.082	64800	scaling;offset	sigma
obs_GFP	condition_eGFP	1525.385	65400	scaling;offset	sigma
obs_GFP	condition_eGFP	1534.45	66000	scaling;offset	sigma
obs_GFP	condition_eGFP	1568.148	66600	scaling;offset	sigma
obs_GFP	condition_eGFP	1527.578	67200	scaling;offset	sigma
obs_GFP	condition_eGFP	1546.872	67800	scaling;offset	sigma
obs_GFP	condition_eGFP	1514.92	68400	scaling;offset	sigma
obs_GFP	condition_eGFP	1529.684	69000	scaling;offset	sigma
obs_GFP	condition_eGFP	1506.578	69600	scaling;offset	sigma
obs_GFP	condition_eGFP	1538.298	70200	scaling;offset	sigma
obs_GFP	condition_eGFP	1513.501	70800	scaling;offset	sigma
obs_GFP	condition_eGFP	1511.042	71400	scaling;offset	sigma
obs_GFP	condition_eGFP	1500.1	72000	scaling;offset	sigma
obs_GFP	condition_eGFP	1510.319	72600	scaling;offset	sigma
obs_GFP	condition_eGFP	1531.953	73200	scaling;offset	sigma
obs_GFP	condition_eGFP	1496.485	73800	scaling;offset	sigma
obs_GFP	condition_eGFP	1486.184	74400	scaling;offset	sigma
obs_GFP	condition_eGFP	1495.399	75000	scaling;offset	sigma
obs_GFP	condition_eGFP	1477.914	75600	scaling;offset	sigma
obs_GFP	condition_eGFP	1479.09	76200	scaling;offset	sigma
obs_GFP	condition_eGFP	1490.201	76800	scaling;offset	sigma
obs_GFP	condition_eGFP	1504.484	77400	scaling;offset	sigma
obs_GFP	condition_eGFP	1471.682	78000	scaling;offset	sigma
obs_GFP	condition_eGFP	1490.371	78600	scaling;offset	sigma
obs_GFP	condition_eGFP	1492.296	79200	scaling;offset	sigma
obs_GFP	condition_eGFP	1496.41	79800	scaling;offset	sigma
obs_GFP	condition_eGFP	1469.659	80400	scaling;offset	sigma
obs_GFP	condition_eGFP	1440.502	81000	scaling;offset	sigma
obs_GFP	condition_eGFP	1474.968	81600	scaling;offset	sigma
obs_GFP	condition_eGFP	1458.522	82200	scaling;offset	sigma
obs_GFP	condition_eGFP	1500.461	82800	scaling;offset	sigma
obs_GFP	condition_eGFP	1446.086	83400	scaling;offset	sigma
obs_GFP	condition_eGFP	1445.472	84000	scaling;offset	sigma
obs_GFP	condition_eGFP	1442.113	84600	scaling;offset	sigma
obs_GFP	condition_eGFP	1456.905	85200	scaling;offset	sigma
obs_GFP	condition_eGFP	1425.847	85800	scaling;offset	sigma
obs_GFP	condition_eGFP	1434.47	86400	scaling;offset	sigma
obs_GFP	condition_eGFP	1425.208	87000	scaling;offset	sigma
obs_GFP	condition_eGFP	1446.831	87600	scaling;offset	sigma
obs_GFP	condition_eGFP	1457.668	88200	scaling;offset	sigma
obs_GFP	condition_eGFP	1430.502	88800	scaling;offset	sigma
obs_GFP	condition_eGFP	1479.179	89400	scaling;offset	sigma
obs_GFP	condition_eGFP	1469.942	90000	scaling;offset	sigma
obs_GFP	condition_eGFP	1434.891	90600	scaling;offset	sigma
obs_GFP	condition_eGFP	1450.18	91200	scaling;offset	sigma
obs_GFP	condition_eGFP	1453.391	91800	scaling;offset	sigma
obs_GFP	condition_eGFP	1445.886	92400	scaling;offset	sigma
obs_GFP	condition_eGFP	1443.018	93000	scaling;offset	sigma
obs_GFP	condition_eGFP	1430.021	93600	scaling;offset	sigma
obs_GFP	condition_eGFP	1430.934	94200	scaling;offset	sigma
obs_GFP	condition_eGFP	1433.099	94800	scaling;offset	sigma
obs_GFP	condition_eGFP	1440.154	95400	scaling;offset	sigma
obs_GFP	condition_eGFP	1414.749	96000	scaling;offset	sigma
obs_GFP	condition_eGFP	1422.26	96600	scaling;offset	sigma
obs_GFP	condition_eGFP	1418.437	97200	scaling;offset	sigma
obs_GFP	condition_eGFP	1435.8	97800	scaling;offset	sigma
obs_GFP	condition_eGFP	1442.749	98400	scaling;offset	sigma
obs_GFP	condition_eGFP	1419.613	99000	scaling;offset	sigma
obs_GFP	condition_eGFP	1443.403	99600	scaling;offset	sigma
obs_GFP	condition_eGFP	1407.209	100200	scaling;offset	sigma
obs_GFP	condition_eGFP	1403.598	100800	scaling;offset	sigma
obs_GFP	condition_eGFP	1400.763	101400	scaling;offset	sigma
obs_GFP	condition_eGFP	1412.913	102000	scaling;offset	sigma
obs_GFP	condition_eGFP	1436.743	102600	scaling;offset	sigma
obs_GFP	condition_eGFP	1381.299	103200	scaling;offset	sigma
obs_GFP	condition_eGFP	1405.442	103800	scaling;offset	sigma
obs_GFP	condition_eGFP	1401.411	104400	scaling;offset	sigma
obs_GFP	condition_eGFP	1368.5	105000	scaling;offset	sigma
obs_GFP	condition_eGFP	1383.019	105600	scaling;offset	sigma
obs_GFP	condition_eGFP	1371.097	106200	scaling;offset	sigma
obs_GFP	condition_eGFP	1393.368	106800	scaling;offset	sigma
obs_GFP	condition_eGFP	1401.305	107400	scaling;offset	sigma
obs_GFP	condition_eGFP	1345.116	108000	scaling;offset	sigma
